"seed","K_optclust","kmeans_k","true_k","score_optclust","score_kmeans_bestk","score_kmeans_kc","score_true","ari_optclust_kmeans","ari_true_kmeans","are_true_optclust","dataname","metric","method"
2,7,9,2,0.460403061892084,0.65472095654656,0.606602191447879,0.435579082470466,0.7960958018124,0.188533603208666,-10,"Atom","robustdunn","greedy"
2,4,7,7,0.436790159541634,1.27431723010855,0.356510920691567,1.27431723010855,0.308058712082381,1,-10,"Atom","robustdunn","greedy"
2,4,7,7,0.447378145402574,1.27431723010855,0.356510920691567,1.27431723010855,0.711131306985848,1,-10,"Atom","robustdunn","greedy"
2,6,5,3,0.36613693442184,0.418203993242905,0.374486665095827,0.264236341143788,0.766747906568204,0.421561236874518,-10,"Atom","robustdunn","greedy"
2,8,5,3,0.376511952898161,0.418203993242905,0.372332907662924,0.264236341143788,0.782962326382941,0.421561236874518,-10,"Atom","robustdunn","greedy"
2,5,8,6,0.6568838491349,0.561625088466952,0.405936733912546,0.309934750940594,0.0187695196954741,0.634888047667502,-10,"Atom","robustdunn","greedy"
2,4,4,4,0.544926036081398,0.566646675092223,0.566646675092223,0.566646675092223,0.98008594436669,1,0.98008594436669,"Atom","robustdunn","greedy"
2,4,4,4,0.566646675092223,0.566646675092223,0.566646675092223,0.566646675092223,1,1,1,"Atom","robustdunn","greedy"
2,5,2,2,0.300405559798847,0.303484316206735,0.24505913131539,0.303484316206735,0.383450105642435,1,-10,"Atom","robustdunn","greedy"
2,4,4,2,0.258061764234095,0.294820355650725,0.294820355650725,0.195815576884185,0.66536800561939,0.85584718950503,-10,"Atom","robustdunn","greedy"
