"seed","K_optclust","kmeans_k","true_k","score_optclust","score_kmeans_bestk","score_kmeans_kc","score_true","ari_optclust_kmeans","ari_true_kmeans","are_true_optclust","dataname","metric","method"
2,2,4,2,0.226113806232564,0.498022058809351,0.403865096854514,0.435579082470466,-0.00358100285619579,0.188533603208666,1.25158008073118e-05,"Atom","robustdunn","greedy"
2,2,4,2,0.226113806232564,0.498022058809351,0.403865096854514,0.435579082470466,-0.00358100285619579,0.188533603208666,1.25158008073118e-05,"Atom","robustdunn","localsearch"
2,4,7,7,0.4413079300893,1.27431723010855,0.356510920691567,1.27431723010855,0.214592603119258,1,-10,"Hepta","robustdunn","greedy"
2,4,7,7,0.4413079300893,1.27431723010855,0.356510920691567,1.27431723010855,0.214592603119258,1,-10,"Hepta","robustdunn","localsearch"
2,4,5,3,0.246579623514376,0.418203993242905,0.408327968963922,0.264236341143788,0.615882601941428,0.421561236874518,-10,"Lsun","robustdunn","greedy"
2,4,5,3,0.246579623514376,0.418203993242905,0.408327968963922,0.264236341143788,0.615882601941428,0.421561236874518,-10,"Lsun","robustdunn","localsearch"
2,5,8,6,0.6568838491349,0.561625088466952,0.405936733912546,0.309934750940594,0.0187695196954741,0.634888047667502,-10,"Target","robustdunn","greedy"
2,5,8,6,0.6568838491349,0.561625088466952,0.405936733912546,0.309934750940594,0.0187695196954741,0.634888047667502,-10,"Target","robustdunn","localsearch"
2,4,4,4,0.566646675092223,0.566646675092223,0.566646675092223,0.566646675092223,1,1,1,"Tetra","robustdunn","greedy"
2,4,4,4,0.566646675092223,0.566646675092223,0.566646675092223,0.566646675092223,1,1,1,"Tetra","robustdunn","localsearch"
2,2,2,2,0.0945213362307251,0.303484316206735,0.303484316206735,0.303484316206735,0,1,0,"TwoDiamonds","robustdunn","greedy"
2,7,2,2,0.211305775836693,0.303484316206735,0.235073676515245,0.303484316206735,0.314675341324274,1,-10,"TwoDiamonds","robustdunn","localsearch"
2,2,4,2,0.195815576884185,0.294820355650725,0.212109642105714,0.195815576884185,0.85584718950503,0.85584718950503,1,"WingNut","robustdunn","greedy"
2,5,4,2,0.192562401498757,0.294820355650725,0.238230082161111,0.195815576884185,0.39940445212332,0.85584718950503,-10,"WingNut","robustdunn","localsearch"
