seed,data,criterion,method,K,silhouette,dunn,ari_true,runtime
5,Lsun,silhouette,True,3.0,0.4393619698491053,0.11705239553975084,1.0,0.0
5,Lsun,silhouette,ICOT_local,4.0,0.5680427435043047,0.04038393275373525,-10.0,19.703853686
5,Lsun,silhouette,OCT,4.0,0.5680427435043047,0.04038393275373525,-10.0,0.109070888
5,Lsun,silhouette,kmeans_plus,4.0,0.5677560543758627,0.03348063351927147,-10.0,0.970130776
5,Lsun,silhouette,hclust,4.0,0.5538263372540496,0.057498749732389484,-10.0,1.129905522
5,Lsun,silhouette,gmm,6.0,0.5369696674816495,0.01964980293526817,-10.0,0.187205835
5,Lsun,silhouette,dbscan,0.4,0.4393619698491053,0.11705239553975084,-10.0,0.425472298
