seed,data,criterion,method,K,silhouette,dunn,ari_true,runtime
1,Tetra,dunnindex,True,4.0,0.5035416208491038,0.19966220595159145,1.0,0.0
1,Tetra,dunnindex,ICOT_local,4.0,0.5035416208491038,0.19966220595159145,1.0,20.125874238
1,Tetra,dunnindex,OCT,4.0,0.5035416208491038,0.19966220595159145,1.0,0.121398574
1,Tetra,dunnindex,kmeans_plus,4.0,0.5035416208491038,0.19966220595159145,1.0,0.983304431
1,Tetra,dunnindex,hclust,4.0,0.5035416208491038,0.19966220595159145,1.0,1.25999832
1,Tetra,dunnindex,gmm,4.0,0.5035416208491038,0.19966220595159145,1.0,0.203472034
1,Tetra,dunnindex,dbscan,0.4,0.5035416208491038,0.19966220595159145,-10.0,0.454530377
