seed,data,criterion,geom_threshold,warm_start,method,K,silhouette,dunn,ari_true,runtime
5,WingNut,silhouette,0.0,oct,True,2.0,0.38388491904798483,0.06325961245733609,1.0,0.0
5,WingNut,silhouette,0.0,oct,ICOT_local,4.0,0.4219557684259603,0.01747412869766926,-10.0,2284.660361761
5,WingNut,silhouette,0.0,oct,OCT,2.0,0.39511738336810104,0.009295099275284595,0.918951870424981,0.186931735
5,WingNut,silhouette,0.0,oct,kmeans_plus,4.0,0.42326937558428324,0.02374485821766137,-10.0,5.002390724
5,WingNut,silhouette,0.0,oct,hclust,4.0,0.4178070327694227,0.03091238170010016,-10.0,2.519084392
5,WingNut,silhouette,0.0,oct,gmm,4.0,0.4127100234035696,0.011398637053625796,-10.0,0.258795527
5,WingNut,silhouette,0.0,oct,dbscan,0.2,0.026591325018385948,0.019078869592893594,-10.0,0.648623178
