seed,data,criterion,geom_threshold,warm_start,method,K,silhouette,dunn,ari_true,runtime
4,Target,silhouette,0.99,oct,True,6.0,0.29520828013791023,0.25329913298274587,1.0,0.0
4,Target,silhouette,0.99,oct,ICOT_local,2.0,0.6293258938554152,0.3617041171316212,-10.0,82.621415288
4,Target,silhouette,0.99,oct,OCT,2.0,0.4035964127559235,0.006542138441645714,-10.0,0.097751292
4,Target,silhouette,0.99,oct,kmeans_plus,9.0,0.5928690898803927,0.026778835711248998,-10.0,4.109257262
4,Target,silhouette,0.99,oct,hclust,2.0,0.6187945806979066,0.26631728961233314,-10.0,2.257961052
4,Target,silhouette,0.99,oct,gmm,6.0,0.5375990436214734,0.006907102678412806,0.6927611253316359,0.225863772
4,Target,silhouette,0.99,oct,dbscan,0.2,0.4160897939249258,0.031862524354839106,-10.0,0.714286022
