seed,data,criterion,geom_threshold,warm_start,method,K,silhouette,dunn,ari_true,runtime
1,Lsun,dunnindex,0.9,oct,True,3.0,0.4393619698491053,0.11705239553975084,1.0,0.0
1,Lsun,dunnindex,0.9,oct,ICOT_local,7.0,0.44653892933674105,0.07126054022619326,-10.0,89.395450883
1,Lsun,dunnindex,0.9,oct,OCT,6.0,0.5436024864147908,0.024816631873686778,-10.0,0.120191145
1,Lsun,dunnindex,0.9,oct,kmeans_plus,9.0,0.4250771651525562,0.06691627392753746,-10.0,2.823190253
1,Lsun,dunnindex,0.9,oct,hclust,10.0,0.388729887157816,0.0705328095456078,-10.0,1.2913937
1,Lsun,dunnindex,0.9,oct,gmm,3.0,0.4393619698491053,0.11705239553975084,1.0,0.208207762
1,Lsun,dunnindex,0.9,oct,dbscan,0.4,0.4393619698491053,0.11705239553975084,-10.0,0.390422015
