seed,data,criterion,geom_threshold,warm_start,method,K,silhouette,dunn,ari_true,runtime
5,Lsun,silhouette,0.99,none,True,3.0,0.4393619698491053,0.11705239553975084,1.0,0.0
5,Lsun,silhouette,0.99,none,ICOT_local,4.0,0.5663054745634323,0.04180699509123741,-10.0,101.100635038
5,Lsun,silhouette,0.99,none,OCT,4.0,0.5680427435043047,0.04038393275373525,-10.0,0.229761613
5,Lsun,silhouette,0.99,none,kmeans_plus,4.0,0.5677560543758627,0.03348063351927147,-10.0,1.00562008
5,Lsun,silhouette,0.99,none,hclust,4.0,0.5538263372540496,0.057498749732389484,-10.0,1.195539993
5,Lsun,silhouette,0.99,none,gmm,6.0,0.5369696674816495,0.01964980293526817,-10.0,0.196438041
5,Lsun,silhouette,0.99,none,dbscan,0.4,0.4393619698491053,0.11705239553975084,-10.0,0.420604931
