seed,data,criterion,geom_threshold,warm_start,method,K,silhouette,dunn,ari_true,runtime
4,TwoDiamonds,silhouette,0.99,oct,True,2.0,0.48591870935773296,0.022004889975551917,1.0,0.0
4,TwoDiamonds,silhouette,0.99,oct,ICOT_local,2.0,0.48591870935773296,0.022004889975551917,1.0,23.4963654
4,TwoDiamonds,silhouette,0.99,oct,OCT,2.0,0.48591870935773296,0.022004889975551917,1.0,0.093168156
4,TwoDiamonds,silhouette,0.99,oct,kmeans_plus,2.0,0.48591870935773296,0.022004889975551917,1.0,3.901205315
4,TwoDiamonds,silhouette,0.99,oct,hclust,2.0,0.48525951981598175,0.034080288605124014,0.9850375245509264,2.301538236
4,TwoDiamonds,silhouette,0.99,oct,gmm,4.0,0.39529827720279387,0.015564266172430551,-10.0,0.230034271
4,TwoDiamonds,silhouette,0.99,oct,dbscan,0.1,0.04731615677264487,0.01194496039691997,-10.0,0.488856548
