seed,data,criterion,method,K,silhouette,dunn,ari_true,runtime
4,Lsun,silhouette,True,3.0,0.4393619698491053,0.11705239553975084,1.0,0.0
4,Lsun,silhouette,ICOT_local,4.0,0.5680427435043047,0.04038393275373525,-10.0,22.591941615
4,Lsun,silhouette,OCT,4.0,0.5680427435043047,0.04038393275373525,-10.0,0.087927046
4,Lsun,silhouette,kmeans_plus,4.0,0.5677560543758627,0.03348063351927147,-10.0,0.152107563
4,Lsun,silhouette,hclust,4.0,0.5538263372540496,0.057498749732389484,-10.0,0.846249373
4,Lsun,silhouette,gmm,6.0,0.5440488174197234,0.025920884074426446,-10.0,0.210003997
4,Lsun,silhouette,dbscan,0.5,0.4393619698491053,0.11705239553975084,-10.0,0.254875089
