seed,data,criterion,method,K,silhouette,dunn,ari_true,runtime
3,Lsun,dunnindex,True,3.0,0.4393619698491053,0.11705239553975084,1.0,0.0
3,Lsun,dunnindex,ICOT_local,3.0,0.4393619698491053,0.11705239553975084,1.0,88.880425816
3,Lsun,dunnindex,OCT,9.0,0.4439851579169922,0.027984257938608273,-10.0,0.187468885
3,Lsun,dunnindex,kmeans_plus,9.0,0.42479444075965345,0.06465723828049964,-10.0,0.848846265
3,Lsun,dunnindex,hclust,10.0,0.388729887157816,0.0705328095456078,-10.0,1.245568163
3,Lsun,dunnindex,gmm,3.0,0.4393619698491053,0.11705239553975084,1.0,0.186191445
3,Lsun,dunnindex,dbscan,0.4,0.4393619698491053,0.11705239553975084,-10.0,0.428270414
