seed,data,criterion,geom_threshold,warm_start,method,K,silhouette,dunn,ari_true,runtime
1,TwoDiamonds,silhouette,0.99,oct,True,2.0,0.48591870935773296,0.022004889975551917,1.0,0.0
1,TwoDiamonds,silhouette,0.99,oct,kmeans_plus,2.0,0.48591870935773296,0.022004889975551917,1.0,4.383514581
1,TwoDiamonds,silhouette,0.99,oct,hclust,2.0,0.48525951981598175,0.034080288605124014,0.9850375245509264,2.222506731
1,TwoDiamonds,silhouette,0.99,oct,gmm,2.0,0.48591870935773296,0.022004889975551917,0.0,0.238664276
1,TwoDiamonds,silhouette,0.99,oct,dbscan,0.1,0.04742603138217521,0.005368614292649572,-10.0,0.883907748
