seed,data,criterion,geom_threshold,warm_start,method,K,silhouette,dunn,ari_true,runtime
3,WingNut,silhouette,0.99,oct,True,2.0,0.38388491904798483,0.06325961245733609,1.0,0.0
3,WingNut,silhouette,0.99,oct,kmeans_plus,2.0,0.425687062048149,0.013985731200547802,0.6702684825487994,5.306657462
3,WingNut,silhouette,0.99,oct,hclust,4.0,0.4178070327694227,0.03091238170010016,-10.0,3.042114016
3,WingNut,silhouette,0.99,oct,gmm,2.0,0.39753651624137015,0.013272337874832396,0.0,0.259536898
3,WingNut,silhouette,0.99,oct,dbscan,0.24,0.38388491904798483,0.06325961245733609,-10.0,3.696779971
