seed,data,criterion,geom_threshold,warm_start,method,K,silhouette,dunn,ari_true,runtime
2,TwoDiamonds,dunnindex,0.99,oct,True,2.0,0.48591870935773296,0.022004889975551917,1.0,0.0
2,TwoDiamonds,dunnindex,0.99,oct,kmeans_plus,8.0,0.38493576507758953,0.02740777027451619,-10.0,4.895507132
2,TwoDiamonds,dunnindex,0.99,oct,hclust,9.0,0.3836081090483955,0.04858221203649906,-10.0,2.242333187
2,TwoDiamonds,dunnindex,0.99,oct,gmm,9.0,0.34148419737925323,0.020040729143726232,-10.0,0.251574554
2,TwoDiamonds,dunnindex,0.99,oct,dbscan,0.1,0.04742603138217521,0.005368614292649572,-10.0,0.664138592
