seed,data,criterion,geom_threshold,warm_start,method,K,silhouette,dunn,ari_true,runtime
4,Atom,silhouette,0.99,oct,True,2.0,0.3113250570039431,0.3710709993544942,1.0,0.0
4,Atom,silhouette,0.99,oct,kmeans_plus,10.0,0.611358723127209,0.038026283623497754,-10.0,4.671420858
4,Atom,silhouette,0.99,oct,hclust,10.0,0.5926597646210817,0.07451135618031461,-10.0,2.14296492
4,Atom,silhouette,0.99,oct,gmm,10.0,0.569421524250431,0.032372070845271925,-10.0,0.225159565
4,Atom,silhouette,0.99,oct,dbscan,0.45,0.5090992689297044,0.015072275321927307,-10.0,1.034062778
