"seed","data","criterion","method","K","silhouette","dunn","ari_true","runtime","filename"
4,"Atom","silhouette","hclust",10,0.592659764621082,0.0745113561803146,-10,2.29410682,"Atom-silhouette-seed4"
4,"Atom","silhouette","gmm",8,0.56972513047869,0.0332477071663825,-10,0.219650078,"Atom-silhouette-seed4"
4,"Atom","silhouette","dbscan",0.9,0.00523991265507361,0.03870700907858,-10,0.247613397,"Atom-silhouette-seed4"
1,"Chainlink","dunnindex","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-dunnindex-seed1"
1,"Chainlink","dunnindex","ICOT_local",2,0.0640261308595145,0.031390205403615,0,611.525052889,"Chainlink-dunnindex-seed1"
1,"Chainlink","dunnindex","OCT",4,0.355612129816658,0.0191891311155058,-10,0.44767551,"Chainlink-dunnindex-seed1"
1,"Chainlink","dunnindex","kmeans_plus",4,0.366413257846156,0.0332689784497011,-10,0.316123771,"Chainlink-dunnindex-seed1"
1,"Chainlink","dunnindex","hclust",9,0.476574415389627,0.0373478629998151,-10,2.556967414,"Chainlink-dunnindex-seed1"
1,"Chainlink","dunnindex","gmm",9,0.41563213504314,0.0153104853428734,-10,0.263957976,"Chainlink-dunnindex-seed1"
1,"Chainlink","dunnindex","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.279171576,"Chainlink-dunnindex-seed1"
2,"Chainlink","dunnindex","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-dunnindex-seed2"
2,"Chainlink","dunnindex","ICOT_local",4,0.252423880651568,0.032195113219013,-10,643.457413475,"Chainlink-dunnindex-seed2"
2,"Chainlink","dunnindex","OCT",4,0.36295598949044,0.0243034925505976,-10,0.458495159,"Chainlink-dunnindex-seed2"
2,"Chainlink","dunnindex","kmeans_plus",4,0.366413257846156,0.0332689784497011,-10,0.336996406,"Chainlink-dunnindex-seed2"
2,"Chainlink","dunnindex","hclust",9,0.476574415389627,0.0373478629998151,-10,2.760549275,"Chainlink-dunnindex-seed2"
2,"Chainlink","dunnindex","gmm",9,0.41563213504314,0.0153104853428734,-10,0.275971725,"Chainlink-dunnindex-seed2"
2,"Chainlink","dunnindex","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.322558879,"Chainlink-dunnindex-seed2"
3,"Chainlink","dunnindex","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","ICOT_local",4,0.252423880651568,0.032195113219013,-10,474.417848284,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","OCT",4,0.357259546396953,0.0191891311155058,-10,0.469668159,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","kmeans_plus",4,0.366413257846156,0.0332689784497011,-10,0.310015689,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","hclust",9,0.476574415389627,0.0373478629998151,-10,2.382511596,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","gmm",9,0.41563213504314,0.0153104853428734,-10,0.250981038,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.243849864,"Chainlink-dunnindex-seed3"
5,"Chainlink","dunnindex","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-dunnindex-seed5"
5,"Chainlink","dunnindex","ICOT_local",4,0.252423880651568,0.032195113219013,-10,509.588428785,"Chainlink-dunnindex-seed5"
5,"Chainlink","dunnindex","OCT",4,0.355688945116069,0.0180904596987995,-10,0.415806815,"Chainlink-dunnindex-seed5"
5,"Chainlink","dunnindex","kmeans_plus",4,0.366413257846156,0.0332689784497011,-10,0.304199721,"Chainlink-dunnindex-seed5"
5,"Chainlink","dunnindex","hclust",9,0.476574415389627,0.0373478629998151,-10,2.537871885,"Chainlink-dunnindex-seed5"
5,"Chainlink","dunnindex","gmm",9,0.41563213504314,0.0153104853428734,-10,0.276038568,"Chainlink-dunnindex-seed5"
5,"Chainlink","dunnindex","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.27167143,"Chainlink-dunnindex-seed5"
1,"Chainlink","silhouette","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","ICOT_local",8,0.371248611585792,0.00550903205640156,-10,117.443078529,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","OCT",8,0.321290444032368,0.0107609174304672,-10,0.588611722,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","kmeans_plus",8,0.497491167623227,0.032981004552796,-10,0.265513145,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","hclust",10,0.495714338045537,0.0373478629998151,-10,2.495641318,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","gmm",9,0.41563213504314,0.0153104853428734,-10,0.221836283,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.243955464,"Chainlink-silhouette-seed1"
2,"Chainlink","silhouette","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-silhouette-seed2"
2,"Chainlink","silhouette","ICOT_local",8,0.372845326601145,0.00550903205640156,-10,115.644594723,"Chainlink-silhouette-seed2"
2,"Chainlink","silhouette","OCT",8,0.36497459777619,0.0107730907847841,-10,0.562748029,"Chainlink-silhouette-seed2"
