"seed","data","criterion","geom_threshold","warm_start","method","K","silhouette","dunn","ari_true","runtime","filename"
1,"Atom","dunnindex",0.99,"oct","hclust",9,0.576283209451983,0.0972301957730685,-10,2.201869389,"Atom-dunnindex-seed1-geom0.99-ws_oct"
1,"Atom","dunnindex",0.99,"oct","gmm",8,0.567081024472932,0.0471970472863335,-10,0.242318908,"Atom-dunnindex-seed1-geom0.99-ws_oct"
1,"Atom","dunnindex",0.99,"oct","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.111494214,"Atom-dunnindex-seed1-geom0.99-ws_oct"
2,"Atom","dunnindex",0,"none","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed2-geom0.0-ws_none"
2,"Atom","dunnindex",0,"none","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,4276.678931395,"Atom-dunnindex-seed2-geom0.0-ws_none"
2,"Atom","dunnindex",0,"none","OCT",3,0.441534002314097,0.0536282032498416,-10,0.440698239,"Atom-dunnindex-seed2-geom0.0-ws_none"
2,"Atom","dunnindex",0,"none","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.398893307,"Atom-dunnindex-seed2-geom0.0-ws_none"
2,"Atom","dunnindex",0,"none","hclust",9,0.576283209451983,0.0972301957730685,-10,2.160307049,"Atom-dunnindex-seed2-geom0.0-ws_none"
2,"Atom","dunnindex",0,"none","gmm",3,0.419325113905826,0.0537430486798184,-10,0.263474455,"Atom-dunnindex-seed2-geom0.0-ws_none"
2,"Atom","dunnindex",0,"none","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.199674836,"Atom-dunnindex-seed2-geom0.0-ws_none"
2,"Atom","dunnindex",0,"oct","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed2-geom0.0-ws_oct"
2,"Atom","dunnindex",0,"oct","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,10001.381195735,"Atom-dunnindex-seed2-geom0.0-ws_oct"
2,"Atom","dunnindex",0,"oct","OCT",3,0.441534002314097,0.0536282032498416,-10,0.387445064,"Atom-dunnindex-seed2-geom0.0-ws_oct"
2,"Atom","dunnindex",0,"oct","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.510353012,"Atom-dunnindex-seed2-geom0.0-ws_oct"
2,"Atom","dunnindex",0,"oct","hclust",9,0.576283209451983,0.0972301957730685,-10,2.317287715,"Atom-dunnindex-seed2-geom0.0-ws_oct"
2,"Atom","dunnindex",0,"oct","gmm",3,0.419325113905826,0.0537430486798184,-10,0.266583377,"Atom-dunnindex-seed2-geom0.0-ws_oct"
2,"Atom","dunnindex",0,"oct","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.384996609,"Atom-dunnindex-seed2-geom0.0-ws_oct"
2,"Atom","dunnindex",0.9,"none","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed2-geom0.9-ws_none"
2,"Atom","dunnindex",0.9,"none","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,2180.034576797,"Atom-dunnindex-seed2-geom0.9-ws_none"
2,"Atom","dunnindex",0.9,"none","OCT",3,0.441534002314097,0.0536282032498416,-10,0.455962132,"Atom-dunnindex-seed2-geom0.9-ws_none"
