"seed","K_optclust","kmeans_k","true_k","score_optclust","score_kmeans_bestk","score_kmeans_kc","score_true","ari_optclust_kmeans","ari_true_kmeans","ari_true_optclust","runtime","dataname","metric","method","geom"
2,2,4,2,0.13687273124837,0.0292548225610799,0.0229642246628344,0.371070999354494,-0.00358100285619579,0.188533603208666,1.25158008073118e-05,3683.399309154,"Atom","dunnindex","localsearch","geomfalse0.0"
2,2,4,2,0.13687273124837,0.0292548225610799,0.0229642246628344,0.371070999354494,-0.00358100285619579,0.188533603208666,1.25158008073118e-05,2504.655163903,"Atom","dunnindex","localsearch","geomtrue0.5"
2,2,4,2,0.13687273124837,0.0292548225610799,0.0229642246628344,0.371070999354494,-0.00358100285619579,0.188533603208666,1.25158008073118e-05,1588.930064797,"Atom","dunnindex","localsearch","geomtrue0.75"
2,2,4,2,0.13687273124837,0.0292548225610799,0.0229642246628344,0.371070999354494,-0.00358100285619579,0.188533603208666,1.25158008073118e-05,1226.734600659,"Atom","dunnindex","localsearch","geomtrue0.9"
2,8,10,2,0.520502219198302,0.608096801384832,0.600005503410526,0.311325057003943,0.83610634409647,0.188533603208666,-10,4403.682238471,"Atom","silhouette","localsearch","geomfalse0.0"
2,8,10,2,0.520093076962753,0.608096801384832,0.600005503410526,0.311325057003943,0.835967545803338,0.188533603208666,-10,2941.396628179,"Atom","silhouette","localsearch","geomtrue0.5"
2,8,10,2,0.519856407891157,0.608096801384832,0.600005503410526,0.311325057003943,0.835966513707435,0.188533603208666,-10,2140.687673033,"Atom","silhouette","localsearch","geomtrue0.75"
2,8,10,2,0.518882542413386,0.608096801384832,0.600005503410526,0.311325057003943,0.834336347560249,0.188533603208666,-10,1487.165967023,"Atom","silhouette","localsearch","geomtrue0.9"
2,4,7,7,0.357475223438775,1.07618340765214,0.104346361683884,1.07618340765214,0.44241624371687,1,-10,112.21545339,"Hepta","dunnindex","localsearch","geomfalse0.0"
2,4,7,7,0.357475223438775,1.07618340765214,0.104346361683884,1.07618340765214,0.44241624371687,1,-10,71.232040237,"Hepta","dunnindex","localsearch","geomtrue0.5"
2,4,7,7,0.357475223438775,1.07618340765214,0.104346361683884,1.07618340765214,0.44241624371687,1,-10,48.008770124,"Hepta","dunnindex","localsearch","geomtrue0.75"
2,4,7,7,0.357475223438775,1.07618340765214,0.104346361683884,1.07618340765214,0.44241624371687,1,-10,36.854449355,"Hepta","dunnindex","localsearch","geomtrue0.9"
2,4,7,7,0.4413079300893,1.27431723010855,0.356510920691567,1.27431723010855,0.214592603119258,1,-10,115.320935913,"Hepta","robustdunn","localsearch","geomfalse0.0"
2,4,7,7,0.4413079300893,1.27431723010855,0.356510920691567,1.27431723010855,0.214592603119258,1,-10,97.42573496,"Hepta","robustdunn","localsearch","geomtrue0.25"
2,4,7,7,0.4413079300893,1.27431723010855,0.356510920691567,1.27431723010855,0.214592603119258,1,-10,73.060655604,"Hepta","robustdunn","localsearch","geomtrue0.5"
2,4,7,7,0.4413079300893,1.27431723010855,0.356510920691567,1.27431723010855,0.214592603119258,1,-10,53.193367045,"Hepta","robustdunn","localsearch","geomtrue0.75"
2,4,7,7,0.4413079300893,1.27431723010855,0.356510920691567,1.27431723010855,0.214592603119258,1,-10,40.112761025,"Hepta","robustdunn","localsearch","geomtrue0.9"
2,4,7,7,0.455071807119679,0.701701220874264,0.429659018054111,0.701701220874264,0.308058712082381,1,-10,99.642835326,"Hepta","silhouette","localsearch","geomfalse0.0"
2,4,7,7,0.455071807119679,0.701701220874264,0.429659018054111,0.701701220874264,0.308058712082381,1,-10,64.98448085,"Hepta","silhouette","localsearch","geomtrue0.5"
2,4,7,7,0.455071807119679,0.701701220874264,0.429659018054111,0.701701220874264,0.308058712082381,1,-10,44.605620668,"Hepta","silhouette","localsearch","geomtrue0.75"
2,4,7,7,0.455071807119679,0.701701220874264,0.429659018054111,0.701701220874264,0.308058712082381,1,-10,36.55423558,"Hepta","silhouette","localsearch","geomtrue0.9"
2,3,3,3,0.117052395539751,0.0353340640999271,0.0353340640999271,0.117052395539751,0.421561236874518,0.421561236874518,1,489.012832894,"Lsun","dunnindex","localsearch","geomfalse0.0"
2,4,5,3,0.246579623514376,0.418203993242905,0.408327968963922,0.264236341143788,0.615882601941428,0.421561236874518,-10,468.038775232,"Lsun","robustdunn","localsearch","geomfalse0.0"
2,4,4,3,0.567264001289884,0.567756054375863,0.567756054375863,0.439361969849105,0.921111187988279,0.421561236874518,-10,403.981304375,"Lsun","silhouette","localsearch","geomfalse0.0"
2,4,4,3,0.567264001289884,0.567756054375863,0.567756054375863,0.439361969849105,0.921111187988279,0.421561236874518,-10,248.176200793,"Lsun","silhouette","localsearch","geomtrue0.5"
2,4,4,3,0.567557415672728,0.567756054375863,0.567756054375863,0.439361969849105,0.941248544090634,0.421561236874518,-10,178.832071713,"Lsun","silhouette","localsearch","geomtrue0.75"
2,4,4,3,0.567557415672728,0.567756054375863,0.567756054375863,0.439361969849105,0.941248544090634,0.421561236874518,-10,139.554750411,"Lsun","silhouette","localsearch","geomtrue0.9"
2,2,7,6,0.361704117131621,0.0246743599030058,0.0109867222524291,0.253299132982746,-0.0111161715145589,0.634888047667502,-10,2506.969710861,"Target","dunnindex","localsearch","geomfalse0.0"
2,2,7,6,0.361704117131621,0.0246743599030058,0.0109867222524291,0.253299132982746,-0.0111161715145589,0.634888047667502,-10,1799.788333037,"Target","dunnindex","localsearch","geomtrue0.5"
2,2,7,6,0.361704117131621,0.0246743599030058,0.0109867222524291,0.253299132982746,-0.0111161715145589,0.634888047667502,-10,1152.049717868,"Target","dunnindex","localsearch","geomtrue0.75"
2,2,7,6,0.361704117131621,0.0246743599030058,0.0109867222524291,0.253299132982746,-0.0111161715145589,0.634888047667502,-10,925.613013058,"Target","dunnindex","localsearch","geomtrue0.9"
2,5,8,6,0.6568838491349,0.561625088466952,0.405936733912546,0.309934750940594,0.0187695196954741,0.634888047667502,-10,3040.363656506,"Target","robustdunn","localsearch","geomtrue0.25"
2,5,8,6,0.6568838491349,0.561625088466952,0.405936733912546,0.309934750940594,0.0187695196954741,0.634888047667502,-10,2322.889549489,"Target","robustdunn","localsearch","geomtrue0.5"
2,5,8,6,0.6568838491349,0.561625088466952,0.405936733912546,0.309934750940594,0.0187695196954741,0.634888047667502,-10,1719.122489204,"Target","robustdunn","localsearch","geomtrue0.75"
2,5,8,6,0.6568838491349,0.561625088466952,0.405936733912546,0.309934750940594,0.0187695196954741,0.634888047667502,-10,1378.68151785,"Target","robustdunn","localsearch","geomtrue0.9"
2,2,8,6,0.629325893855415,0.586509432741697,0.421332397868108,0.29520828013791,-0.0111161715145589,0.634888047667502,-10,1434.643904067,"Target","silhouette","localsearch","geomfalse0.0"
2,2,8,6,0.629325893855415,0.586509432741697,0.421332397868108,0.29520828013791,-0.0111161715145589,0.634888047667502,-10,1095.805917412,"Target","silhouette","localsearch","geomtrue0.5"
2,2,8,6,0.629325893855415,0.586509432741697,0.421332397868108,0.29520828013791,-0.0111161715145589,0.634888047667502,-10,738.924167985,"Target","silhouette","localsearch","geomtrue0.75"
2,2,8,6,0.629325893855415,0.586509432741697,0.421332397868108,0.29520828013791,-0.0111161715145589,0.634888047667502,-10,579.800505639,"Target","silhouette","localsearch","geomtrue0.9"
2,4,4,4,0.199662205951591,0.199662205951591,0.199662205951591,0.199662205951591,1,1,1,688.815462202,"Tetra","dunnindex","localsearch","geomfalse0.0"
